id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity
1,21,395.1097699668527,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.422999596987781,23.71707070041703,23.723809523809525,25.223809523809525,40.419047619047625,41.919047619047625,395.1097699668527,7,1021.5807517640093,-254.92072560783987,2577.066987904753,1902.7488625880108,2965.219204492954,-5.91544740993378
2,22,378.9870023725452,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.43129298654821835,23.142913814787565,23.152380952380955,24.652380952380955,32.400000000000006,33.900000000000006,378.9870023725452,7,974.5040688969909,-249.95920938895065,2419.493275398625,1819.2466103410525,2825.2135680704673,-6.054684243127359
3,23,133.39765811773447,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.43951276569438863,22.569753012859334,22.571428571428573,22.571428671428574,24.071428571428573,24.071428671428574,133.39765811773447,7,928.7024233951619,-244.43162038387078,2270.7093846336966,1321.609895391513,666.0746128215753,-19.605828193196775
4,24,124.45269159132991,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.44764491991621536,22.002211013955193,22.009523809523813,22.009523909523814,23.509523809523813,23.509523909523814,124.45269159132991,7,884.4722383686366,-238.50915951782477,2130.9175567439543,1260.2037085232944,589.0835270480479,-20.02854307970957
5,25,116.22992995785965,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.45538448804769127,21.44308148139784,21.44761904761905,21.44761914761905,22.94761904761905,22.94761914761905,116.22992995785965,7,842.04191645237,-232.41619636788374,1999.8170472534719,1201.6392437378963,519.4878282878535,-20.442494014816358
6,26,108.67448419437974,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.46328526850075935,20.895766181960116,20.904761904761905,20.904762004761906,22.404761904761905,22.404762004761906,108.67448419437974,7,801.4763660143511,-226.13638340034308,1877.3155581608899,1146.3618168245648,456.44850057929006,-20.848298501100672
7,21,387.9046342118483,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.47869365458923907,23.146662977153543,23.152380952380955,24.652380952380955,33.095238095238095,34.595238095238095,387.9046342118483,7,1027.314335314187,-336.83256501894255,2429.7143596163164,1893.3329707580717,2805.597089186783,-5.915444462476245
8,22,372.84552325737593,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.4892071455107929,22.573982806225168,22.580952380952382,23.8,24.080952380952382,25.3,372.84552325737593,7,979.7134752128741,-328.9208241920121,2278.238098058253,1759.81573608187,2709.437060802238,-6.0546876792927815
9,23,126.85761973286579,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.4992814935047448,22.003612427251316,22.009523809523813,22.009523909523814,23.509523809523813,23.509523909523814,126.85761973286579,7,933.3174275084814,-320.2937284960886,2135.4827060612142,1317.1447860072005,516.1873562556176,-19.605842992230972
10,24,118.25696640042038,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5094277073344029,21.44013822408451,21.44761904761905,21.44761914761905,22.94761904761905,22.94761914761905,118.25696640042038,7,888.3274267756948,-311.0876607870134,2001.6154381857414,1255.53375148176,445.9130015790721,-20.028525189843073
