id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity
11,25,184.24083420481736,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.40569342494737054,21.355643107461503,21.361904761904764,22.861904761904764,73.56190476190477,75.06190476190477,184.24083420481736,7,738.3874205891681,-211.34122680961707,3424.774482859354,2111.026688035084,719.5060744763169,-6.829508134392075
12,26,175.46038840564748,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.4131571390071776,20.794328939865657,20.8,22.3,67.00952380952381,68.50952380952381,175.46038840564748,7,697.8740514369878,-205.14776432141494,3302.612542250903,1952.0691396555046,634.2955448042447,-6.964788104482071
13,21,246.04116481626912,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.34238980137446884,25.145729940729655,25.152380952380955,26.652380952380955,124.8857142857143,126.3857142857143,246.04116481626912,7,1052.3237423047024,-253.8826336129807,4389.78800751931,3442.3658312732796,1471.7943661051988,-6.259243759579047
14,22,232.9949121930246,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3498996138481258,24.55887867843752,24.561904761904763,26.061904761904763,114.70476190476191,116.20476190476191,232.9949121930246,7,998.717991798001,-251.93361693210676,4216.889182574606,3170.8119137888643,1298.3565620738432,-6.406563666645686
15,23,220.979146913729,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.35725334046199214,23.97772104342228,23.980952380952385,25.480952380952385,105.3904761904762,106.8904761904762,220.979146913729,7,947.782124219113,-248.80799287628054,4054.663399821659,2926.426568613844,1147.3755955079066,-6.550578411844016
16,24,209.85101161075812,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3645146929814595,23.39793314791902,23.400000000000002,24.900000000000002,96.7904761904762,98.2904761904762,209.85101161075812,7,898.9285102611935,-244.57284334504658,3901.159914290969,2703.898138932348,1014.0160848404261,-6.6914948563394026
17,25,199.5545744929104,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3716977687572329,22.82409190094164,22.82857142857143,24.32857142857143,88.86666666666667,90.36666666666667,199.5545744929104,7,852.3271779760128,-239.4904832444012,3756.5666682171372,2501.671090021979,896.3642109247903,-6.829508790769244
18,26,190.0299310466173,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3788412129380651,22.258905713328666,22.26666666666667,23.76666666666667,81.57142857142858,83.07142857142858,190.0299310466173,7,808.0124669093426,-233.7692497250184,3620.6595689844166,2317.8572782264587,792.6279427545037,-6.964788366355342
19,21,221.42303379196926,Cesaroni_M1670,6026.35,3.9,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.40207214453237283,22.96201529269299,22.971428571428575,24.471428571428575,100.25714285714287,101.75714285714287,221.42303379196926,7,866.1484448717329,-198.62894535136303,3882.5121206865765,2755.7724268608654,1147.7620270026812,-6.259243897856726
20,22,209.61853860496663,Cesaroni_M1670,6026.35,3.9,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.4099735826121722,22.373711166712486,22.380952380952383,23.880952380952383,91.33333333333334,92.83333333333334,209.61853860496663,7,817.8329657695016,-194.94966645660816,3731.0860242603253,2531.5440858753122,1012.8908964185498,-6.406564292951532
