id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity
11,55,25.730486007616275,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.6202607799565127,10.89075589503291,10.895238095238096,10.895238195238095,12.395238095238096,12.395238195238095,25.730486007616275,7,203.73307718384456,-62.38404494787665,1856.8793695470142,339.91902898175783,-62.600394387009985,-31.818174803126055
12,56,24.940549199087535,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.627311861644062,10.70476450332838,10.714285714285715,10.714285814285715,12.214285714285715,12.214285814285715,24.940549199087535,7,195.96132431031577,-60.126154824602565,1840.4418595446516,330.1325700141207,-63.70089846715274,-32.0723353906147
13,51,33.74020475824016,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.545511488761633,12.700864639005514,12.704761904761906,12.704762004761905,14.204761904761906,14.204762004761905,33.74020475824016,7,288.0845125477446,-88.2750061176951,2036.369919829008,446.73927792756353,-49.567278796680945,-30.731178224035553
14,52,32.578297361445884,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5520224009295989,12.472352240660753,12.476190476190478,12.476190576190477,13.976190476190478,13.976190576190477,32.578297361445884,7,277.0090180095218,-85.15571966874994,2011.923949270694,432.99668642377765,-52.890796090848596,-31.028983381518348
15,53,31.484218437385145,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5585533917603269,12.252319717489332,12.257142857142858,12.257142957142857,13.757142857142858,13.757142957142857,31.484218437385145,7,266.50957246293694,-82.16981255056938,1988.8586556090345,420.29574117993985,-56.10798645498638,-31.32257131065886
16,54,30.4514808289256,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5651147651286456,12.039641176659815,12.04761904761905,12.047619147619049,13.54761904761905,13.547619147619049,30.4514808289256,7,256.5243789865104,-79.32002442532074,1967.0176329315047,408.4463846952494,-59.17155436526908,-31.61053608754304
17,55,29.479754376982527,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5717219821211988,11.833729946176478,11.838095238095239,11.838095338095238,13.338095238095239,13.338095338095238,29.479754376982527,7,247.0024241755091,-76.58175953990568,1946.3373228648645,396.9583839578761,-61.69740694255692,-31.893354501324648
18,56,28.55778265292561,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5783907034984765,11.633349783169585,11.63809523809524,11.638095338095239,13.13809523809524,13.138095338095239,28.55778265292561,7,237.87176488343533,-73.93194813071669,1926.6769088130036,385.8995353253041,-63.85698291830704,-32.16957546466984
19,51,28.75553697826973,Cesaroni_M1670,6026.35,3.9,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.6174653256368038,11.357432670665926,11.361904761904762,11.361904861904762,12.861904761904762,12.861904861904762,28.75553697826973,7,214.9134941110995,-57.28684357782254,1925.5999261268717,346.70446701919764,-33.17937026928372,-30.71100969243158
20,52,27.798418285082864,Cesaroni_M1670,6026.35,3.9,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.6251735732605931,11.152924461345012,11.161904761904763,11.161904861904762,12.661904761904763,12.661904861904762,27.798418285082864,7,206.25041635266513,-55.07904450134192,1906.015887128823,336.0427337021563,-35.81805408741023,-30.99991706616803
